DATE,TEMPERATURE
2016-11-24-18:00,80.6
2016-11-24-18:15,80.6
2016-11-24-18:30,80.2
2016-11-24-18:45,80.2
2016-11-24-19:00,80.2
2016-11-24-19:15,79.8
2016-11-24-19:30,79.7
2016-11-24-19:45,79.3
2016-11-24-20:00,78.9
2016-11-24-20:15,78.8
2016-11-24-20:30,78.4
2016-11-24-20:45,78.0
2016-11-24-21:00,77.9
2016-11-24-21:15,77.5
2016-11-24-21:30,76.8
2016-11-24-21:45,76.8
2016-11-24-22:00,76.4
2016-11-24-22:15,76.2
2016-11-24-22:30,75.7
2016-11-24-22:45,75.2
2016-11-24-23:00,74.8
2016-11-24-23:15,74.4
2016-11-24-23:30,74.3
2016-11-24-23:45,74.1
2016-11-25-00:00,73.9
2016-11-25-00:15,73.7
2016-11-25-00:30,73.5
2016-11-25-00:45,73.4
2016-11-25-01:00,73.2
2016-11-25-01:15,73.0
2016-11-25-01:30,72.6
2016-11-25-01:45,72.6
2016-11-25-02:00,72.5
2016-11-25-02:15,72.5
2016-11-25-02:30,72.3
2016-11-25-02:45,72.1
2016-11-25-03:00,71.9
2016-11-25-03:15,71.7
2016-11-25-03:30,71.7
2016-11-25-03:45,71.6
2016-11-25-04:00,71.6
2016-11-25-04:15,71.4
2016-11-25-04:30,71.2
2016-11-25-04:45,71.2
2016-11-25-05:00,71.2
2016-11-25-05:15,70.8
2016-11-25-05:30,70.8
2016-11-25-05:45,70.8
2016-11-25-06:00,70.8
2016-11-25-06:15,70.7
2016-11-25-06:30,70.7
2016-11-25-06:45,70.7
2016-11-25-07:00,70.5
2016-11-25-07:15,70.3
2016-11-25-07:30,70.3
2016-11-25-07:45,70.3
2016-11-25-08:00,70.3
2016-11-25-08:15,70.3
2016-11-25-08:30,70.1
2016-11-25-08:45,70.1
2016-11-25-09:00,69.9
2016-11-25-09:15,69.9
2016-11-25-09:30,69.9
2016-11-25-09:45,69.9
2016-11-25-10:00,69.9
2016-11-25-10:15,69.9
2016-11-25-10:30,69.8
2016-11-25-10:45,69.8
2016-11-25-11:00,69.8
2016-11-25-11:15,69.8
2016-11-25-11:30,69.8
2016-11-25-11:45,69.8
2016-11-25-12:00,69.8
2016-11-25-12:15,69.8
2016-11-25-12:30,69.8
2016-11-25-12:45,69.8
2016-11-25-13:00,69.8
2016-11-25-13:15,69.8
2016-11-25-13:30,69.8
2016-11-25-13:45,69.8
2016-11-25-14:00,69.8
2016-11-25-14:15,69.8
2016-11-25-14:30,69.6
2016-11-25-14:45,69.6
2016-11-25-15:00,69.6
2016-11-25-15:15,69.6
2016-11-25-15:30,69.6
2016-11-25-15:45,69.6
2016-11-25-16:00,69.6
2016-11-25-16:15,69.6
2016-11-25-16:30,69.6
2016-11-25-16:45,69.6
2016-11-25-17:00,69.6
2016-11-25-17:15,69.4
2016-11-25-17:30,69.4
2016-11-25-17:45,69.4
2016-11-25-18:00,69.4
2016-11-25-18:15,69.4
2016-11-25-18:30,69.4
2016-11-25-18:45,69.4
2016-11-25-19:00,69.4
2016-11-25-19:15,69.4
2016-11-25-19:30,69.4
2016-11-25-19:45,69.4
2016-11-25-20:00,69.4
2016-11-25-20:15,69.4
2016-11-25-20:30,69.2
2016-11-25-20:45,69.2
2016-11-25-21:00,69.2
2016-11-25-21:15,69.2
2016-11-25-21:30,69.2
2016-11-25-21:45,69.0
2016-11-25-22:00,69.0
2016-11-25-22:15,69.0
2016-11-25-22:30,69.0
2016-11-25-22:45,69.0
2016-11-25-23:00,69.0
2016-11-25-23:15,69.0
2016-11-25-23:30,69.0
2016-11-25-23:45,69.0
2016-11-26-00:00,68.9
2016-11-26-00:15,68.9
2016-11-26-00:30,68.9
2016-11-26-00:45,68.9
2016-11-26-01:00,68.9
2016-11-26-01:15,68.9
2016-11-26-01:30,68.9
2016-11-26-01:45,68.9
2016-11-26-02:00,68.7
2016-11-26-02:15,68.7
2016-11-26-02:30,68.7
2016-11-26-02:45,68.5
2016-11-26-03:00,68.5
2016-11-26-03:15,68.5
2016-11-26-03:30,68.5
2016-11-26-03:45,68.5
2016-11-26-04:00,68.5
2016-11-26-04:15,68.5
2016-11-26-04:30,68.3
2016-11-26-04:45,68.3
2016-11-26-05:00,68.3
2016-11-26-05:15,68.1
2016-11-26-05:30,68.1
2016-11-26-05:45,68.1
2016-11-26-06:00,68.1
2016-11-26-06:15,68.1
2016-11-26-06:30,68.1
2016-11-26-06:45,68.0
2016-11-26-07:00,68.0
2016-11-26-07:15,68.0
2016-11-26-07:30,68.0
2016-11-26-07:45,68.0
2016-11-26-08:00,67.8
2016-11-26-08:15,67.8
2016-11-26-08:30,67.6
2016-11-26-08:45,67.6
2016-11-26-09:00,67.6
2016-11-26-09:30,67.6
2016-11-26-09:45,67.6
2016-11-26-10:00,67.4
2016-11-26-10:15,67.4
2016-11-26-10:30,67.2
2016-11-26-10:45,67.2
2016-11-26-11:00,67.2
2016-11-26-11:15,67.2
2016-11-26-11:30,67.2
2016-11-26-11:45,67.1
2016-11-26-12:00,67.1
2016-11-26-12:15,67.1
2016-11-26-12:30,67.1
2016-11-26-12:45,66.9
2016-11-26-13:00,66.9
2016-11-26-13:15,66.7
2016-11-26-13:30,66.7
2016-11-26-13:45,66.7
