DATE,TEMPERATURE
09-24-2016-14:05:37,73.16
09-24-2016-14:15:01,73.16
09-24-2016-14:30:02,73.16
09-24-2016-14:45:01,72.95
09-24-2016-15:00:01,72.82
09-24-2016-15:15:01,72.71
09-24-2016-15:30:01,72.60
09-24-2016-15:45:01,72.60
09-24-2016-16:00:01,72.50
09-24-2016-16:15:01,72.37
09-24-2016-16:30:01,72.26
09-24-2016-16:45:01,72.26
09-24-2016-17:00:01,72.15
09-24-2016-17:15:01,72.15
09-24-2016-17:30:01,72.05
09-24-2016-17:45:01,72.05
09-24-2016-18:00:01,71.92
09-24-2016-18:15:01,71.92
09-24-2016-18:30:01,71.92
09-24-2016-18:45:01,71.81
09-24-2016-19:00:01,71.81
09-24-2016-19:15:01,71.81
09-24-2016-19:30:01,71.81
09-24-2016-19:45:01,71.81
09-24-2016-20:00:01,71.81
09-24-2016-20:15:01,71.81
09-24-2016-20:30:01,71.81
09-24-2016-20:45:01,71.70
09-24-2016-21:00:01,71.70
09-24-2016-21:15:01,71.60
09-24-2016-21:30:01,71.60
09-24-2016-21:45:01,71.60
09-24-2016-22:00:01,71.47
09-24-2016-22:15:01,71.47
09-24-2016-22:30:01,71.47
09-24-2016-22:45:01,71.47
09-24-2016-23:00:01,71.47
09-24-2016-23:15:01,71.36
09-24-2016-23:30:01,71.36
09-24-2016-23:45:01,71.36
09-25-2016-00:00:01,71.36
09-25-2016-00:15:01,71.36
09-25-2016-00:30:01,71.36
09-25-2016-00:45:01,71.36
09-25-2016-01:00:01,71.25
09-25-2016-01:15:01,71.36
09-25-2016-01:30:01,71.25
09-25-2016-01:45:02,71.25
09-25-2016-02:00:01,71.25
09-25-2016-02:15:01,71.25
09-25-2016-02:30:01,71.25
09-25-2016-02:45:01,71.25
09-25-2016-03:00:01,71.25
09-25-2016-03:15:01,71.25
09-25-2016-03:30:01,71.25
09-25-2016-03:45:01,71.25
09-25-2016-04:00:01,71.36
09-25-2016-04:15:01,71.36
09-25-2016-04:30:01,71.36
09-25-2016-04:45:01,71.36
09-25-2016-05:00:01,71.36
09-25-2016-05:15:01,71.36
09-25-2016-05:30:01,71.36
09-25-2016-05:45:01,71.47
09-25-2016-06:00:01,71.47
09-25-2016-06:15:02,71.47
09-25-2016-06:30:01,71.47
09-25-2016-06:45:01,71.60
09-25-2016-07:00:01,71.60
09-25-2016-07:15:01,71.60
09-25-2016-07:30:01,71.70
09-25-2016-07:45:01,71.70
09-25-2016-08:00:01,71.70
09-25-2016-08:15:01,71.81
09-25-2016-08:30:01,71.81
09-25-2016-08:45:01,71.92
09-25-2016-09:00:01,71.92
09-25-2016-09:15:01,72.05
09-25-2016-09:30:01,72.05
09-25-2016-09:45:01,72.15
09-25-2016-10:00:01,72.26
09-25-2016-10:15:02,72.26
09-25-2016-10:30:02,72.37
09-25-2016-10:45:01,72.50
09-25-2016-11:00:01,72.50
09-25-2016-11:15:01,72.60
09-25-2016-11:30:01,72.71
09-25-2016-11:45:01,72.82
09-25-2016-12:00:01,72.95
09-25-2016-12:15:01,72.95
09-25-2016-12:30:01,73.05
09-25-2016-12:45:01,73.16
09-25-2016-13:00:01,73.27
09-25-2016-13:15:01,73.40
09-25-2016-13:30:01,73.50
09-25-2016-13:45:01,73.61
09-25-2016-14:00:01,73.72
09-25-2016-14:15:01,73.72
09-25-2016-14:30:01,73.85
09-25-2016-14:45:01,73.95
09-25-2016-15:00:01,74.06
09-25-2016-15:15:01,74.17
09-25-2016-15:30:01,74.30
09-25-2016-15:45:01,74.40
09-25-2016-16:00:01,74.51
09-25-2016-16:15:02,74.62
09-25-2016-16:30:02,74.75
09-25-2016-16:45:01,74.85
09-25-2016-17:00:01,74.96
09-25-2016-17:15:01,75.07
09-25-2016-17:30:01,75.20
09-25-2016-17:45:01,75.30
09-25-2016-18:00:02,75.41
09-25-2016-18:15:01,75.41
09-25-2016-18:30:01,75.52
09-25-2016-18:45:01,75.65
09-25-2016-19:00:02,75.75
09-25-2016-19:15:01,75.75
09-25-2016-19:30:01,75.86
09-25-2016-19:45:01,75.86
09-25-2016-20:00:01,75.97
09-25-2016-20:15:01,76.10
09-25-2016-20:30:01,76.10
09-25-2016-20:45:01,76.20
09-25-2016-21:00:01,76.20
09-25-2016-21:15:01,76.31
09-25-2016-21:30:01,76.31
09-25-2016-21:45:01,76.42
09-25-2016-22:00:01,76.42
09-25-2016-22:15:01,76.55
09-25-2016-22:30:01,76.55
09-25-2016-22:45:01,76.55
