DATE,TEMPERATURE
2016-10-04-21:05,72.6
2016-10-04-21:15,72.6
2016-10-04-21:30,72.3
2016-10-04-21:45,71.9
2016-10-04-22:00,71.6
2016-10-04-22:15,71.4
2016-10-04-22:30,71.2
2016-10-04-22:45,70.8
2016-10-04-23:00,70.7
2016-10-04-23:15,70.5
2016-10-04-23:30,70.3
2016-10-04-23:45,69.9
2016-10-05-00:00,69.9
2016-10-05-00:15,69.8
2016-10-05-00:30,69.6
2016-10-05-00:45,69.4
2016-10-05-01:00,69.2
2016-10-05-01:15,69.0
2016-10-05-01:30,68.9
2016-10-05-01:45,68.7
2016-10-05-02:00,68.7
2016-10-05-02:15,68.5
2016-10-05-02:30,68.3
2016-10-05-02:45,68.1
2016-10-05-03:00,68.1
2016-10-05-03:15,68.0
2016-10-05-03:30,68.0
2016-10-05-03:45,67.8
2016-10-05-04:00,67.6
2016-10-05-04:15,67.6
2016-10-05-04:30,67.6
2016-10-05-04:45,67.2
2016-10-05-05:00,67.2
2016-10-05-05:15,67.1
2016-10-05-05:30,67.1
2016-10-05-05:45,66.9
2016-10-05-06:00,66.7
2016-10-05-06:15,66.7
2016-10-05-06:30,66.7
2016-10-05-06:45,66.5
2016-10-05-07:00,66.5
2016-10-05-07:15,66.3
2016-10-05-07:30,66.3
2016-10-05-07:45,66.2
2016-10-05-08:00,66.2
2016-10-05-08:15,66.2
2016-10-05-08:30,66.0
2016-10-05-08:45,65.8
2016-10-05-09:00,65.8
2016-10-05-09:15,65.8
2016-10-05-09:30,65.8
2016-10-05-09:45,65.8
2016-10-05-10:00,65.8
2016-10-05-10:15,65.8
2016-10-05-10:30,65.6
2016-10-05-10:45,65.6
2016-10-05-11:00,65.6
2016-10-05-11:15,65.4
2016-10-05-11:30,65.4
2016-10-05-11:45,65.4
2016-10-05-12:00,65.4
2016-10-05-12:15,65.4
2016-10-05-12:30,65.4
2016-10-05-12:45,65.4
2016-10-05-13:00,65.4
2016-10-05-13:15,65.4
2016-10-05-13:30,65.3
2016-10-05-13:45,65.3
2016-10-05-14:00,65.3
2016-10-05-14:15,65.3
2016-10-05-14:30,65.3
2016-10-05-14:45,65.3
2016-10-05-15:00,65.3
2016-10-05-15:15,65.3
2016-10-05-15:30,65.3
2016-10-05-15:45,65.3
2016-10-05-16:00,65.3
2016-10-05-16:15,65.3
2016-10-05-16:30,65.3
2016-10-05-16:45,65.3
2016-10-05-17:00,65.3
2016-10-05-17:15,65.3
2016-10-05-17:30,65.3
2016-10-05-17:45,65.3
2016-10-05-18:00,65.3
2016-10-05-18:15,65.3
2016-10-05-18:30,65.3
2016-10-05-18:45,65.3
2016-10-05-19:00,65.3
2016-10-05-19:15,65.3
2016-10-05-19:30,65.3
2016-10-05-19:45,65.3
2016-10-05-20:00,65.3
2016-10-05-20:15,65.3
2016-10-05-20:30,65.3
2016-10-05-20:45,65.3
2016-10-05-21:00,65.3
2016-10-05-21:15,65.3
2016-10-05-21:30,65.3
2016-10-05-21:45,65.3
2016-10-05-22:00,65.3
2016-10-05-22:15,65.3
2016-10-05-22:30,65.3
2016-10-05-22:45,65.3
2016-10-05-23:00,65.3
2016-10-05-23:15,65.3
2016-10-05-23:30,65.3
2016-10-05-23:45,65.3
2016-10-06-00:00,65.3
2016-10-06-00:15,65.3
2016-10-06-00:30,65.3
2016-10-06-00:45,65.3
2016-10-06-01:00,65.3
2016-10-06-01:15,65.4
2016-10-06-01:30,65.3
2016-10-06-01:45,65.3
2016-10-06-02:00,65.3
2016-10-06-02:15,65.3
2016-10-06-02:30,65.3
2016-10-06-02:45,65.3
2016-10-06-03:00,65.3
2016-10-06-03:15,65.3
2016-10-06-03:30,65.3
2016-10-06-03:45,65.3
2016-10-06-04:00,65.3
2016-10-06-04:15,65.3
2016-10-06-04:30,65.3
2016-10-06-04:45,65.3
2016-10-06-05:00,65.3
2016-10-06-05:15,65.3
2016-10-06-05:30,65.3
2016-10-06-05:45,65.3
2016-10-06-06:00,65.3
2016-10-06-06:15,65.3
2016-10-06-06:30,65.3
2016-10-06-06:45,65.3
2016-10-06-07:00,65.3
2016-10-06-07:15,65.3
2016-10-06-07:30,65.3
2016-10-06-07:45,65.3
2016-10-06-08:00,65.3
2016-10-06-08:15,65.3
2016-10-06-08:30,65.3
2016-10-06-08:45,65.3
2016-10-06-09:00,65.3
2016-10-06-09:15,65.3
2016-10-06-09:30,65.3
2016-10-06-09:45,65.3
2016-10-06-10:00,65.3
2016-10-06-10:15,65.3
2016-10-06-10:30,65.3
2016-10-06-10:45,65.3
2016-10-06-11:00,65.3
2016-10-06-11:15,65.3
2016-10-06-11:30,65.4
2016-10-06-11:45,65.4
2016-10-06-12:00,65.4
2016-10-06-12:15,65.4
2016-10-06-12:30,65.4
2016-10-06-12:45,65.4
2016-10-06-13:00,65.4
2016-10-06-13:15,65.4
2016-10-06-13:30,65.4
2016-10-06-13:45,65.4
2016-10-06-14:00,65.4
2016-10-06-14:15,65.6
2016-10-06-14:30,65.6
2016-10-06-14:45,65.6
2016-10-06-15:00,65.6
2016-10-06-15:15,65.8
2016-10-06-15:30,65.8
2016-10-06-15:45,65.8
2016-10-06-16:00,65.8
2016-10-06-16:15,65.8
2016-10-06-16:30,65.8
2016-10-06-16:45,65.8
2016-10-06-17:00,66.0
2016-10-06-17:15,66.0
2016-10-06-17:30,66.0
2016-10-06-17:45,66.2
2016-10-06-18:00,66.2
2016-10-06-18:15,66.2
2016-10-06-18:30,66.2
2016-10-06-18:45,66.2
2016-10-06-19:00,66.2
2016-10-06-19:15,66.3
2016-10-06-19:30,66.3
2016-10-06-19:45,66.3
2016-10-06-20:00,66.3
2016-10-06-20:15,66.3
